sample_id,collection_date,lineage
SRR27018626,2023-09-26,GD.1
SRR27018627,2023-09-26,XCM
SRR27018628,2023-09-26,EG.5.2
SRR27018629,2023-09-25,XBB.1.16
SRR27018630,2023-09-25,HV.1
SRR27018631,2023-09-25,XCM
SRR27018632,2023-09-24,HK.31
SRR27018633,2023-09-26,HZ.1
SRR27018634,2023-09-25,EG.5.1.13
SRR27018635,2023-09-25,EG.5.1.13
SRR27018695,2023-09-26,EG.5.1.1
SRR27018696,2023-09-29,HK.3.1
SRR27018697,2023-09-29,EG.6.1
SRR27018698,2023-10-01,GE.1
SRR27018699,2023-09-29,EG.6.1
SRR27018700,2023-09-27,XBB.1.16.1
SRR27018701,2023-10-01,EG.5.1.8
SRR27018702,2023-09-30,EG.5.1.8
SRR27018703,2023-09-27,HV.1
SRR27018704,2023-09-30,HP.1.1
SRR27018705,2023-09-27,HY.1
SRR27018706,2023-09-28,XBB.1.16.1
SRR27018707,2023-09-29,XBB.2.3.17
SRR27018708,2023-09-27,FL.1.5.1
SRR27018709,2023-09-28,HV.1.2
SRR27018710,2023-09-28,HV.1
SRR27018711,2023-09-27,JF.1
SRR27018712,2023-09-28,EG.5.1.1
SRR27018713,2023-09-28,HZ.1
SRR27018714,2023-09-28,FL.1.5.1
SRR27018715,2023-09-29,XBB.2.3.2
SRR27018716,2023-09-29,FL.1.5.1
SRR27018717,2023-09-28,EG.5.1.3
SRR27018718,2023-09-29,HV.1
SRR27018719,2023-09-30,XBB.1.16.11
SRR27018720,2023-09-30,JF.1
SRR27018721,2023-09-30,XBB.1.9
SRR27018722,2023-09-30,XBB.1.16
SRR27018723,2023-09-30,EG.5.1.16
SRR27018724,2023-09-25,HV.1
SRR27018725,2023-09-25,HK.31
SRR27018726,2023-09-27,HK.29
SRR27018727,2023-09-26,HV.1
SRR27018728,2023-09-27,EG.5.1.1
SRR27018729,2023-09-27,FL.1.5.1
SRR27018730,2023-09-27,XBB.1.16.6
SRR27018731,2023-09-26,FL.1.5.1
SRR27018732,2023-09-27,FL.1.5.1
SRR27018733,2023-09-27,EG.5.1
SRR27018734,2023-09-23,EG.5.1.1
